clade	species	ts	te
0.0	1.0	46.17170901317355	39.340032635144546
0.0	2.0	65.29723920721993	60.74436349326211
0.0	3.0	64.88273262989262	63.1079178984591
0.0	4.0	82.51405898680392	66.75617774683641
0.0	5.0	85.82556396165958	83.05621576702215
0.0	6.0	21.844837791649987	0.0
0.0	7.0	27.21435277793536	20.111546989701175
0.0	8.0	6.4174247450485975	0.0
0.0	9.0	85.10678980029263	62.45945482387162
0.0	10.0	74.46343264358434	65.86242699047641
0.0	11.0	6.3770148360564765	0.0
0.0	12.0	70.54241202589428	65.34945267088017
0.0	13.0	85.09538721780748	70.82048369060466
0.0	14.0	23.451989779024906	0.0
0.0	15.0	21.87566787117152	0.0
0.0	16.0	28.55374270855624	19.25880623529789
0.0	17.0	54.07701606151171	46.124247888547146
0.0	18.0	58.3916170676245	52.004768354829714
0.0	19.0	69.1830369954754	66.85929060045254
0.0	20.0	84.07126662892081	70.05510028504217
0.0	21.0	47.317090522310544	40.669088993141116
0.0	22.0	26.029379445799105	16.41971056067021
0.0	23.0	72.43449011728939	62.93573108645593
0.0	24.0	21.196143200905777	2.8373510357392364
0.0	25.0	59.3257067581612	35.398675086766666
0.0	26.0	64.32947150183175	49.93845034863927
0.0	27.0	30.261976205887635	28.84141778908474
0.0	28.0	6.432576712168107	0.0
0.0	29.0	21.854070329620228	10.554647197039646
0.0	30.0	49.46051469031589	39.24703566491518
0.0	31.0	77.5665960838865	65.62477522348031
0.0	32.0	71.88926057441773	65.1209194032918
0.0	33.0	77.74358570797689	74.0631524443092
0.0	34.0	97.80700348446881	93.66167901392564
0.0	35.0	109.09059583183337	94.13565603463174
0.0	36.0	111.2423314026035	102.82950709427865
0.0	37.0	113.46755945198713	94.79670062448598
0.0	38.0	90.74048609883091	71.87247316448139
0.0	39.0	5.900294835583855	0.0
0.0	40.0	67.89845253148455	54.559636847739306
0.0	41.0	49.55207427002592	39.21523807720745
0.0	42.0	46.41612851673935	38.18687236309784
0.0	43.0	27.776000233852155	12.689289519914572
0.0	44.0	75.62983752575309	68.07273414798935
0.0	45.0	6.403671551036193	0.0
0.0	46.0	66.9840291743077	51.46151546281484
0.0	47.0	33.30498345064512	12.82087649000284
0.0	48.0	70.78403242734728	61.62457361486615
0.0	49.0	70.11244098312041	67.18362191370382
0.0	50.0	64.2365769193306	39.801789180323546
0.0	51.0	21.72454177142039	3.4825149944780818
0.0	52.0	4.835978483943666	0.0
0.0	53.0	83.49824469642425	66.52777865220868
0.0	54.0	53.48914164612909	39.52410370100505
0.0	55.0	53.24420288859558	39.4349087805233
0.0	56.0	77.80928559782996	72.07950940798008
0.0	57.0	22.16416360476688	0.0
