"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-121.182006666116	246.501944366715	123.036403867671	1.91859966154297e-27
"OU1"	3	-83.90785218206	174.094774131562	50.629233632518	1.01391513326898e-11
"OUM"	4	-57.4974761318749	123.465540499044	0	0.999999999989861
