"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-62.5273758786544	129.192682791792	16.4519453526139	0.000261084836515583
"OU1"	3	-56.9304808414827	120.140031450407	7.39929401122954	0.0241290326646145
"OUM"	4	-52.1350746019418	112.740737439178	0	0.97560988249887
