"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-74.7828656539944	153.703662342472	25.3876949781234	3.03060869083537e-06
"OU1"	3	-65.362788970079	137.0046477076	8.68868034325158	0.0128137078780535
"OUM"	4	-59.922689564527	128.315967364348	0	0.987183261513256
