clade	species	ts	te
0.0	1.0	46.53696285868171	40.38835981118515
0.0	2.0	49.3178575617121	10.051617116605277
0.0	3.0	66.85051349719048	60.789325968404015
0.0	4.0	86.62290252983665	66.95723568682803
0.0	5.0	72.10909047390813	0.0
0.0	6.0	86.05324692695508	0.0
0.0	7.0	38.264792008972066	0.0
0.0	8.0	88.58915562014813	68.40837090351735
0.0	9.0	86.2399066842915	66.66816397949236
0.0	10.0	59.22159350145289	0.0
0.0	11.0	65.73963910801866	0.0
0.0	12.0	33.20387085164778	19.643643150195324
0.0	13.0	67.945703713069	44.89252088929272
0.0	14.0	85.39870826312122	66.54413205747196
0.0	15.0	49.2672365459595	12.242134395530561
0.0	16.0	47.53175832618176	0.0
0.0	17.0	47.28129457860508	0.0
0.0	18.0	25.77374601217067	0.0
0.0	19.0	78.12368038472303	72.49888598705905
0.0	20.0	86.51983328943005	58.39562178080001
0.0	21.0	59.53956031118223	0.0
0.0	22.0	67.08006402436881	45.919187477864504
0.0	23.0	69.65681971758467	67.67341344200433
0.0	24.0	57.201545867385555	9.792086777093004
0.0	25.0	32.53759254865083	0.0
0.0	26.0	48.99982628793416	10.713333016329013
0.0	27.0	78.01640505474282	67.40293561474492
0.0	28.0	97.31527301758695	68.24991968441674
0.0	29.0	129.50458492328178	69.44724393757595
0.0	30.0	94.32164242439495	65.9192086263803
0.0	31.0	81.14677620925382	0.0
0.0	32.0	49.844689781110205	0.0
0.0	33.0	35.82852290752546	0.0
0.0	34.0	42.30883002133412	0.0
0.0	35.0	96.99071842499579	12.66306342238189
0.0	36.0	47.519087601119374	0.0
0.0	37.0	99.282161955627	0.0
0.0	38.0	49.79190008586413	0.0
0.0	39.0	29.77335795400993	0.0
