clade	species	ts	te
0.0	1.0	45.42963635988387	42.50241180582424
0.0	2.0	45.53047830657195	38.081690301584935
0.0	3.0	15.822418008092065	13.458089790279875
0.0	4.0	65.16961261211824	61.98677747336025
0.0	5.0	64.81038716346568	62.73208083050484
0.0	6.0	83.36507363405713	65.73707527650254
0.0	7.0	86.40846899538774	84.13537756838502
0.0	8.0	19.30450563618531	0.0
0.0	9.0	20.123938537598168	17.125871602385693
0.0	10.0	27.810565919899577	14.671133976589783
0.0	11.0	6.2396836210725	0.0
0.0	12.0	26.59459835352085	25.08572405819625
0.0	13.0	84.6704242072622	61.51138656858138
0.0	14.0	75.73047786496991	65.07767980168283
0.0	15.0	44.84685624674167	41.998701330719
0.0	16.0	6.798375384179297	0.0
0.0	17.0	75.71467295182488	73.96086538356975
0.0	18.0	84.83533800142874	83.19247067015206
0.0	19.0	85.01467872064575	83.44328794744948
0.0	20.0	70.59021519111177	66.56090203810841
0.0	21.0	79.95066433220538	76.74750983327606
0.0	22.0	83.51466747145668	73.9416563734793
0.0	23.0	6.007098821898585	3.503278882254395
0.0	24.0	19.869905399044328	0.0
0.0	25.0	13.60032124657795	11.406816296603832
0.0	26.0	58.668074903963614	57.037695067177346
0.0	27.0	45.15176732940039	42.07117500518322
0.0	28.0	19.89647589594068	0.0
0.0	29.0	17.380080185513577	14.59725786265266
0.0	30.0	27.630129475985456	20.67598955982238
0.0	31.0	54.224652139665274	47.71339112580467
0.0	32.0	59.00953545176497	52.092447146496895
0.0	33.0	70.61019786771466	66.47293022670662
0.0	34.0	84.74013056581626	69.13961018618399
0.0	35.0	47.980264223209666	41.90905822758257
0.0	36.0	18.786527273758246	15.823573548144116
0.0	37.0	34.215056657588974	14.688016102966992
0.0	38.0	45.16362838357303	42.00129406124251
0.0	39.0	16.970469273817855	14.317087495079479
0.0	40.0	76.28866925931878	74.17087374083196
0.0	41.0	71.29213831944635	64.27466894590148
0.0	42.0	82.82896231451815	81.17689523769077
0.0	43.0	45.382551123292636	42.32741563580142
0.0	44.0	21.25924839213719	1.8172692603223177
0.0	45.0	57.69817014162609	36.92278051855671
0.0	46.0	67.03350621704959	47.02911900889749
0.0	47.0	67.17119076427696	65.89193674102833
0.0	48.0	34.565967703011005	28.879499931294813
0.0	49.0	6.677725764159856	0.0
0.0	50.0	23.773743425989707	21.439743152398254
0.0	51.0	22.59963766550314	11.269332664074607
0.0	52.0	48.60229501230709	38.3508159497172
0.0	53.0	76.39630219365573	66.76241528142594
0.0	54.0	68.17083764807953	65.72632210249638
0.0	55.0	95.20047227742066	94.68947750620345
0.0	56.0	84.47605404205302	73.51058244061261
0.0	57.0	127.88198443413235	126.53487707083
0.0	58.0	100.2632337118321	94.07005051141196
0.0	59.0	101.77391705457582	94.68611525468248
0.0	60.0	110.39684653038756	100.01135595978505
0.0	61.0	113.55429959161104	94.76176535936328
0.0	62.0	69.6101418978894	68.23354758875215
0.0	63.0	90.86135084922809	72.18489140306121
0.0	64.0	73.71625916744777	71.96076912795418
0.0	65.0	6.170736419379889	0.0
0.0	66.0	27.545995231409155	26.010234041185818
0.0	67.0	45.132017581219785	42.09259174078863
0.0	68.0	6.149053935893528	0.0
0.0	69.0	17.105061458443288	14.281983818014366
0.0	70.0	6.1830082908876305	0.0
0.0	71.0	29.101697597826973	27.425414122076575
0.0	72.0	6.328731846284513	0.0
0.0	73.0	65.83579491479384	57.510618152491766
0.0	74.0	73.2853189715523	71.63913441394537
0.0	75.0	49.56045722439283	39.23127421729631
0.0	76.0	45.67749622060348	40.108111468982905
0.0	77.0	32.798833190200334	12.57470825253119
0.0	78.0	6.213300253887007	0.0
0.0	79.0	15.12720209760404	12.67027661018007
0.0	80.0	68.02439647098201	66.67395514219116
0.0	81.0	74.31376987350055	70.23495376657141
0.0	82.0	73.22945817400631	71.65101410249612
0.0	83.0	6.450385850855399	0.0
0.0	84.0	66.9930244033929	44.96294768320705
0.0	85.0	34.21623104195579	13.891419491853958
0.0	86.0	70.30453019248891	61.35652650386597
0.0	87.0	69.31404109274762	66.97100885526892
0.0	88.0	63.47250758462762	39.945906547195534
0.0	89.0	77.29381359128163	74.33798624016806
0.0	90.0	24.360883507052925	2.497863748625037
0.0	91.0	54.30492179591073	51.24642140115587
0.0	92.0	5.330447270770383	0.0
0.0	93.0	63.79402680463268	62.59437400025437
0.0	94.0	82.9473284227441	69.63020616060525
0.0	95.0	53.24417760885617	40.14461872349651
0.0	96.0	54.421423012127015	40.399833970081424
0.0	97.0	77.47061235205068	72.59599791738891
0.0	98.0	44.93733429927637	41.96725709298745
0.0	99.0	23.33322820201194	0.0
