it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	tot_length	Angoumeius_TS	Centrodeania_TS	Centrophoroides_TS	Centrophorus_TS	Centroscymnus_TS	Centroselachus_TS	Centrosqualus_TS	Cretascymnus_TS	Dalatias_TS	Deania_TS	Dracipinna_TS	Eodalatias_TS	Eoetmopterus_TS	Eosqualiolus_TS	Etmopterus_TS	Incognitorapax_TS	Isistius_TS	Megasqualus_TS	Oligodalatias_TS	Oxynotus_TS	Paraetmopterus_TS	Proetmopterus_TS	Protocentrophorus_TS	Protosqualus_TS	Protoxynotus_TS	Rhinoscymnus_TS	Scymnodalatias_TS	Scymnodon_TS	Somniosus_TS	Squaliodalatias_TS	Squaliolus_TS	Squalus_TS	Trigonognathus_TS	Zameus_TS	Angoumeius_TE	Centrodeania_TE	Centrophoroides_TE	Centrophorus_TE	Centroscymnus_TE	Centroselachus_TE	Centrosqualus_TE	Cretascymnus_TE	Dalatias_TE	Deania_TE	Dracipinna_TE	Eodalatias_TE	Eoetmopterus_TE	Eosqualiolus_TE	Etmopterus_TE	Incognitorapax_TE	Isistius_TE	Megasqualus_TE	Oligodalatias_TE	Oxynotus_TE	Paraetmopterus_TE	Proetmopterus_TE	Protocentrophorus_TE	Protosqualus_TE	Protoxynotus_TE	Rhinoscymnus_TE	Scymnodalatias_TE	Scymnodon_TE	Somniosus_TE	Squaliodalatias_TE	Squaliolus_TE	Squalus_TE	Trigonognathus_TE	Zameus_TE
0	-3389.698286663952	-223.78831238251215	-2233.3393420621637	-932.5706322192759	0.499273273234654	0.499273273234654	0.499273273234654	0.499273273234654	0.499273273234654	0.499273273234654	0.499273273234654	0.499273273234654	1.0	132.01969281727565	0.0	1.1	1.1	0.772262967495635	0.25446273498208005	0.5427065131519114	0.16371952066545237	0.16640581475696942	0.11701800547280315	0.12158097544531889	0.2838109526947324	0.33159199254935706	0.20757268248808555	0.36869269129399557	0.4026568952865564	0.21185018482141083	0.1200094971465306	0.12653483473002142	0.32591021429105244	0.332694540919174	0.26041759548269233	0.1906816173444241	0.11791822081264929	0.12067678014010809	0.7938578567717025	0.10596778243790991	0.27097033409086263	0.1150731788276129	0.31769012351150433	0.13430042058978992	0.8683828782235249	0.20109639735287035	0.8571572885330238	0.28690394578326456	0.40556041541721854	0.3093471604872118	0.11621630477463336	0.431105656573365	0.3483782171987936	0.2362604847104313	0.20765763993233072	0.28424849077619857	0.1250269384542144	0.4552730628766898	0.7799834719666897	1434.0693689936713	53.03476534351183	65.86125036401218	87.31589620092565	69.2011072332867	84.93674102232379	33.17755368581669	85.67009380161205	84.77400726688852	58.32584664134967	65.94355677918281	28.850734032227916	70.86874621649096	82.32000056981272	47.44350172287913	47.12934531456377	83.83817190773848	58.5933213729472	70.19601425595215	55.73499362151859	21.314202920497408	48.80497930597199	76.19363245882589	103.01339570802773	132.01969281727565	92.55997073002537	77.29780967575405	52.95236906614964	34.078731827050746	32.77971344277719	98.98324970650482	45.20076363239897	98.70556267263362	59.843780671799955	17.986059784263958	6.193071978469969	62.07350747568093	67.28325434898515	0.0	0.0	0.0	62.23230845628758	64.11788157182767	0.0	0.0	21.535837807387384	46.51153983901804	65.49651710249435	7.123986038332406	0.0	54.733237999771994	0.0	49.50421687638208	2.6864814302783757	0.0	11.824761675405943	65.9998091504267	56.2331187913322	67.5095020420966	64.45299421865587	0.0	0.0	0.0	0.0	15.36816597649337	0.0	0.0	0.0	0.0
20000	-2618.3595121090293	-224.04297100439243	-2165.106141832812	-229.21039927182483	0.5786556423880842	0.376851394556578	0.7876172238073421	0.33962298450717643	0.3301002584826877	0.923657419551063	1.8778077063562735	0.5938532375719547	1.1403103121079385	130.28748481013375	0.0	4.197040264660566	1.1500181082986787	0.022554852292871228	0.5979110271386417	0.1622860847495233	0.04589270067607786	0.16851817595940777	0.027914218030428276	0.00573228229118302	0.03234435363758002	0.06948360762570702	0.04322469573024522	0.007276140240463738	0.1408782930573899	0.04287024845381574	0.0006133708521728104	0.007848493150053482	0.023758500685922494	0.003649177819798043	0.010646367412897298	0.0005599997495812122	0.0016938231482096827	0.009821839336152625	0.005149348643467744	0.10766366937112576	0.1622266792019052	0.027859943898830588	0.01172817192009238	0.015494670964386854	0.014457093875561667	0.07612443749477187	0.14513197358583593	0.011619221991091057	0.0034588466724942294	0.025915615845667973	0.015424160569285344	0.003959475336673042	0.012279219836352252	0.0006094129055562164	0.00898104240871061	0.006350616766960625	0.038403488787283696	0.022748804927777814	0.01717168757389729	1375.9772014218893	45.5157863674492	66.41679624376216	90.47963639888616	68.7341664543443	82.19146000239	28.492477085779388	89.05618950509201	84.47400171013449	58.64249895870959	64.7822829296049	29.964329937806937	76.51194116587578	82.83867983488541	46.96866672261465	47.2792120383515	82.5389550998169	59.1721376576526	70.62450270818411	54.80836744786077	29.222258293766586	49.844625289659454	80.62632672600454	96.13549603475754	130.28748481013375	94.05988191374848	75.41266277704287	44.46774689064967	28.877542883898403	28.62484450725322	95.94027632916243	44.89277068314256	97.238873559317	46.16670070841358	19.45647480121216	13.076823021128423	62.21007090441176	67.53360000711326	0.0	0.0	0.0	65.89665328661826	66.22964867456704	0.0	0.0	20.734703184793823	48.61314296736876	65.68447298537441	10.834027140469443	0.0	63.03096504178952	0.0	48.253342674650455	11.785565297986123	0.0	10.746078498838791	67.5233684836631	47.34001423260219	68.02821887621649	64.43262777315934	0.0	0.0	0.0	0.0	12.815530004722673	0.0	0.0	0.0	0.0
40000	-2633.4541051765636	-224.0003821610659	-2169.779466979604	-239.6742560358939	0.2758875917326741	0.31341527532053115	0.5644006206526331	0.30787610759650913	0.2446829773024481	0.9870000335617518	1.771980050965812	0.4110765639020314	1.1406839588301227	130.49090702609365	0.0	1.334687771821372	4.213074736415484	0.029672952827442697	0.6221297047090832	0.019036808620818624	0.1478641757536354	0.03820116518429775	0.05847826926604715	0.05513797092247523	0.03765583079937077	0.0028299151742263258	0.10422361619024918	0.014295211965529908	0.10913303044002624	0.017109265214910945	0.00639352911246757	0.02574161750825866	0.07282728208921603	0.010595519277174465	0.011272651318654833	0.030754826583814038	0.010078992556905773	0.007077762266019155	0.030194993496200064	0.05803982106468761	0.08320300817954235	0.015936626548915457	0.013097557958950849	0.04893065961794321	0.020335636450916232	0.019495444507644257	0.18648820547553993	0.02769212442669685	0.003491639518911293	0.022945807476372402	0.009618036650339971	0.013434102163490898	0.012720628621411167	0.009664111542963504	0.0012851128786211389	0.02359167746345568	0.03351876543468717	0.0020842072485182483	0.019471945490869936	1411.00478473924	44.44524457063721	65.49184912441412	87.7709376966025	69.1094303955878	85.73513359870383	25.470699518653323	87.57562836385758	84.6049060236435	58.27721127976572	69.03754780611764	34.12800507864061	79.2859414582793	83.2670547657601	45.902145536881974	45.238121470656736	83.79729875607286	57.92218354449298	71.00475056743255	57.28339009005253	28.77476383938116	48.72731276330037	76.53181907187948	94.57274988474977	130.49090702609365	95.08388665806754	80.01368855416284	53.20181994652792	42.084606806773074	28.988547149578032	98.87862561796577	46.728659070887495	96.77652285037998	56.64071503550648	27.741906490387755	10.722849321019565	62.480584490207434	67.40816377708103	0.0	0.0	0.0	73.80740085895589	64.91740668869598	0.0	0.0	21.40850248953974	45.65928912733453	64.54168268346558	4.337540597711612	0.0	62.60584956063107	0.0	47.1356196378542	11.546437766724752	0.0	11.88429929736584	67.40084637724098	63.09080951190528	68.02371945828763	64.40404316020458	0.0	0.0	0.0	0.0	18.20418086842831	0.0	0.0	0.0	0.0
60000	-2629.287804674605	-225.31773616293003	-2169.8743721731516	-234.09569633852334	0.2807233382561664	0.4054139145362985	0.5572216607292214	0.24028629421121214	0.15883885261585615	0.5884437719977224	1.3149173201236806	0.29410684784948693	1.5004047574534722	133.53292380188432	0.0	0.47249547589383395	9.703873389113742	0.1097647216241567	0.19475948405316723	0.09543223910508353	0.17530960122406566	0.003755607267676427	0.08850185016112236	0.041959435974796434	0.03379642062913549	0.04897667723786522	0.08985577980331191	0.01291918123497741	0.26857863404283827	0.0084200132329588	0.009479823905276784	0.0490042300765877	0.020374842632924255	0.02336510178140782	0.006809408794939089	0.00626382288987971	0.034246219464553765	0.0018754802557043042	0.009880252504046751	0.07065201717995755	0.012156612891966716	0.06623129019087605	0.00628521677640967	0.00030879221466898	0.0027802441873243998	0.060523202629774196	0.1455419455735964	0.0017061250174268013	0.02758118344397773	0.021819436699282605	0.003748785691751754	0.012837662564319348	0.01285282387887472	0.0018977911517047473	0.0021401627249306395	0.018978145275751965	0.10168780833505768	0.007269315312148731	0.006786104063434392	1389.125024496715	45.04884250470879	65.68872588264543	88.16920974294123	68.21432108173344	85.83436800690838	25.49651020235593	85.90328452880648	85.87849564800777	58.368448225805174	63.922044649317414	33.134948482040734	76.83196014840674	82.5674651394418	46.719943715912336	46.061660745992214	85.36882685220772	59.02967135672933	70.94453107441652	54.883814808752184	32.95831348608293	47.07590496485264	76.69507686978639	96.58635358976902	133.53292380188432	92.09094144186908	76.62788320430535	46.63006682637018	34.84804044438896	30.45618607934576	95.63282196144829	43.97600463003581	98.22798080015122	57.56148721289638	21.123804647687347	10.145094541224713	61.60156601733185	67.08757950458028	0.0	0.0	0.0	66.80300192130147	65.6055791394534	0.0	0.0	18.92145300337816	46.88897293796799	65.75139930589319	13.45943296410706	0.0	63.23159027143642	0.0	48.93908676291933	8.06302240910639	0.0	11.985046464941753	66.34666122211085	66.5214556995318	65.86375649891386	64.92020024692694	0.0	0.0	0.0	0.0	10.830939350162922	0.0	0.0	0.0	0.0
80000	-2633.3293379132824	-223.66784719350517	-2171.0218910417607	-238.63959967801657	0.4278885069743577	0.3790115136678342	0.8237080332374482	0.2578045424353084	0.21115599366428636	0.6715046255394171	1.1761427426750501	0.33019442782279473	1.5933562997463957	131.26016154064743	0.0	2.047127295151202	7.961114775169245	0.08333227070668	0.6101787353219308	0.09501884835163439	0.3376958325132078	0.210194603475442	0.00240960553159571	0.025653767138852805	0.05032203126532985	0.012383378079039336	0.08879824754726845	0.040836874694238016	0.10182415174526484	0.018549297661949755	0.005640058214652295	0.06815575710077118	0.011475153376414483	0.027757073087483212	0.012205055215360378	0.003940841986932146	0.022044611103911264	0.0056772815095017075	0.004210813344550513	0.001387171423981488	0.028865275231922925	0.03763562794333788	0.003574926665532173	0.011840740131804264	0.022968686637514623	0.20440947272007354	0.13567609780476517	0.024863731713687807	0.01576620171152869	0.023260359627454496	0.025034877551343863	0.007389712432214533	0.01399680338389397	0.003788054462843054	0.00934632126412228	0.05675578347248429	0.008681362714360036	0.006567131727467129	0.011563357890568412	1410.0406309375824	45.44060048123416	66.39760651649704	87.01811100762342	67.80896761968707	87.24770547802932	32.52944151439498	86.3036334277796	84.32947858138735	58.972682472615766	63.92456972656571	34.032442161826225	83.00350955278365	83.30057149603637	46.05137956834824	46.968226510223985	88.51057919055957	57.95471706687752	70.54998885953576	59.22708861296512	26.008387569948088	51.9605833899439	84.16872714197729	95.31050032464961	131.26016154064743	98.90319737435217	82.95354850686786	45.04655527059121	31.574010433012226	30.05519342132955	95.65939228719957	46.375236751621344	96.83030199470306	57.476464928941816	17.80064855017949	10.982864020506033	60.490375592818324	66.78523538897815	0.0	0.0	0.0	64.87888501039882	65.88095577796653	0.0	0.0	21.983333357515157	48.43998729848927	65.54793705175129	19.229131601799082	0.0	61.72880245074272	0.0	44.45594897770078	4.873003573039241	0.0	11.215018414197973	68.14136329830055	66.81144919587815	67.97252565863401	63.72940004797527	0.0	0.0	0.0	0.0	17.767361676661686	0.0	0.0	0.0	0.0
100000	-2643.387871745006	-224.01013059623847	-2177.282453533881	-242.09528761488673	0.7281099890488203	0.3790727041184844	0.5318266283707058	0.2916754784740159	0.2582065493505262	0.7652811084691423	1.0719159810696293	0.3359598794338888	1.2305137884285324	129.96292144430265	0.0	2.3294411971860933	19.827626600313167	0.11968558414664952	0.5587464789617189	0.09144985506988758	0.30629552557478207	0.0012442217694307975	0.019921752925377224	0.00998911191154949	0.015252521535375136	0.005054420824555232	0.030553243039410646	0.018428134388140265	0.07633447854615616	0.021064136974359337	0.023954827875991805	0.06797228744883581	0.052727341419574233	0.03555913474577154	0.010608069895620055	0.014613555701719573	0.004785308707511511	0.00810575974665558	0.07359335907208296	0.2092013950870367	0.02494861604928347	0.029816669102373773	0.05545401958409317	0.019009978363381988	0.020407543779029622	0.05484955371141862	0.07206008528824737	0.03608775387674833	0.06024279661270983	0.036579491591147116	0.021058531843909614	0.0037344389908379573	0.0028005287606332006	0.0061453173080566895	0.037055527343119614	0.010987516210241762	0.028348752006288423	0.022156330867597898	0.004585601785735208	1457.9690022515963	45.86699759046372	65.60871614436776	87.30273771251125	68.43733575500829	87.61023299926941	33.28973007174303	85.30160599793749	85.03207346559684	58.90781062170643	65.68537606533364	29.690870169808118	86.83506867800527	85.45980193592682	53.1553680964438	47.062096895475044	87.39086239573446	58.35068564271217	71.03218153774208	56.45679219791191	42.202326685437676	46.857441576607	85.79965380653955	95.00177537395138	129.96292144430265	91.56285867976707	88.62845219430858	53.41798102523848	30.08996931356701	31.53799185252912	98.02149990900564	47.082109202661805	96.44060816865282	46.46547063595318	26.27322988528912	11.292520218369589	61.47913338200847	66.7750478161578	0.0	0.0	0.0	74.34246169300171	66.21910624798699	0.0	0.0	18.93166446082403	40.3366059739713	65.44469496400863	14.47026760396892	0.0	51.476291958746515	0.0	48.20070680038782	9.447023559472674	0.0	13.199641824642805	66.96484800963154	59.650484883640935	65.82790711145161	62.09743791794885	0.0	0.0	0.0	0.0	13.695787049691894	0.0	0.0	0.0	0.0
120000	-2616.115150247056	-223.31529087129857	-2172.125962538372	-220.67389683738566	0.48562691684050296	0.3099336550881492	0.6773894744164002	0.24097900108851433	0.20828760389437978	0.6506545998978508	0.865645177865379	0.3757060279199124	1.1414128384664057	130.42783928656024	0.0	0.08286566546784613	15.666411075101445	0.004766558187270714	0.7344290336840418	0.0019973869206914544	0.25552887071918406	0.03194390028309025	0.0028742768595502333	0.028722750954691675	0.012295464235747953	0.08284317051145577	0.03848049026810438	0.004625571518047659	0.1049675525926715	0.008734795787758227	0.005739000004291321	0.02284492634509953	0.012543647788047377	0.024019895867403638	0.01593446061361274	0.007226343051398739	0.020788743916963705	0.012961974258238132	0.0024854634289401267	0.12810827954331688	0.012658063555073934	0.04923633733357989	0.023634203675192294	0.021624930452011002	0.0009036172803617288	0.22265435031743536	0.015609202261114551	0.01604410984061205	0.09080423820335239	0.0008384598396669122	0.0021271951689062884	0.026721656739360566	0.0007681770484016108	0.03217057571649098	0.015351106731560206	0.025033070275566293	0.057242552059939736	0.010843563201292056	0.006958714791079739	1444.06837429182	63.13268701992928	67.249881967717	87.48545159275949	68.28657722996016	85.46012428156965	30.565931248199295	86.74322609686791	85.50940859681441	58.51922790426529	64.72637820069863	30.631329990402524	81.25590214038213	86.1906950714543	46.72811212947816	45.12123358662518	85.66845909818011	58.02072958008263	72.46264687721535	56.18968337865959	45.47982000749113	47.97106642643401	82.61340885188417	95.9649741692451	130.42783928656024	95.10785402501368	86.14645654008325	47.0651273057111	31.15523580478917	32.967780387863925	95.79285493286932	46.99190567955028	96.84899018657072	47.24300573154056	22.81932068462123	10.85153501467035	62.535158090047595	66.93591371149216	0.0	0.0	0.0	67.90925077654252	65.24136538359878	0.0	0.0	21.786805087850638	38.20234541193755	65.8725190294867	11.289098098902034	0.0	52.56583071645422	0.0	50.447983833965246	11.647188496106013	0.0	12.991016581155804	68.32448361670164	65.51512470091961	66.77246562940611	65.22836004550327	0.0	0.0	0.0	0.0	16.35850749492864	0.0	0.0	0.0	0.0
140000	-2630.14581208009	-224.5273322765777	-2173.4219447300948	-232.19653507341718	0.30011155924202354	0.3264150825779353	0.6229279724634421	0.20550393189550373	0.22083798258814044	0.6594075964598457	1.0704882474441422	0.2387858361551802	1.4700116262103353	131.14046773320496	0.0	4.688721046137403	5.300193756707307	0.03418608696654127	0.45093102789077627	0.030964245248917395	0.06385376068965314	0.16666005849199045	0.013821795086546572	0.041018324801415644	0.02569698094098019	0.024021559427362935	0.07455286238032172	0.012681389450865227	0.03818517199912641	0.040789733855758986	0.023476773371219336	0.008563611831829824	0.014894985153449905	0.015118252537852152	0.004860551062406103	0.0016988637762843468	0.001935150717629842	0.03552055892848022	0.0632848490829555	0.02935881644820357	0.06546838963140655	0.048999800627697994	0.015675344347153498	0.015764589640769593	0.0016140901927099859	0.127274530466458	0.14200757303449874	0.003545401162873979	0.017727693313417458	0.08138217286782158	0.04562652893673707	0.008618039084290388	0.004080607237674826	0.005671836068821423	0.0009240995306563659	0.08240776987385091	0.01780822869919688	0.01759051661580567	0.019344446671942152	1444.8272464761576	66.10399298310604	67.4758434046454	88.81713392942416	70.21072011212341	84.95448985800004	28.758582225394107	84.87019123843275	84.7496263362721	58.32634346985266	66.2136668353915	39.5179608579084	83.21836534115215	82.00085205060941	49.785421553524415	47.60127962549525	83.21808150646737	57.88267718543601	70.49084036143871	59.66614150750372	37.423108274026696	47.585288823327616	80.5371711450274	95.49044618167187	131.14046773320496	95.21036721125624	85.41929633764211	48.06135026189805	34.68939102697047	41.23975716522509	95.51703293819457	45.67282413671946	96.60438251390758	43.91787965637506	21.07373053185154	9.196566657678837	61.27954091617436	66.90299441710253	0.0	0.0	0.0	67.41380256951535	65.85447263972151	0.0	0.0	19.981788632427865	47.311391169770246	65.83391853090555	15.8420434121388	0.0	61.83811350506777	0.0	45.63551895750053	2.7287474974378103	0.0	12.710475441724043	68.40333901916904	66.7616828571112	67.26691432951205	65.75041041676215	0.0	0.0	0.0	0.0	17.905736873599285	0.0	0.0	0.0	0.0
160000	-2629.7929850226888	-224.12013270794432	-2173.7341348285013	-231.93871748624315	0.48324902658967	0.5036641249041043	0.5789144694692998	0.3203424399828302	0.19928601493946166	0.6778498324859153	1.217625418890469	0.2702916271376599	1.6934378716663856	130.54149035986916	0.0	10.013364429948675	17.724611155844023	0.059945537756748844	0.7907137416784061	0.02721281324969446	0.21366162700514496	0.08878390648206352	0.015125253632587446	0.03961095072701371	0.014381961255267061	0.07556166388198005	0.056031667617738104	0.01248953551469955	0.08067910229241014	0.018160734232350546	0.005378280363631502	0.03712152351879191	0.03885026101035857	0.005154193524864582	0.02116871699616053	0.012348565993172161	0.012062099796426147	0.04775949042611532	0.0324891845887543	0.006903603856297774	0.07915819230378865	0.01192870499790722	0.00991900361850447	0.012036563363261456	0.020335906934827355	0.08828375364209336	0.09457513550768294	0.003720806303457561	0.014206090683839916	0.07912378379320983	0.0646947481191045	0.011997839755797542	0.026478070803484226	0.010365030269550537	0.024931816729567416	0.009501318574439666	0.03185222027129185	0.004816162885309741	0.007358358435184866	1427.028516050623	48.08326580022432	68.99609192037954	87.78328786822291	67.90419632868681	85.65569998384669	30.606191160180526	85.1000345974781	85.98940236329189	57.79393838492109	64.28912718274199	30.045617238324837	81.4114734198191	83.4559514281962	48.62754898053935	46.151017466805975	86.01684563900156	58.31310502995417	70.46540165572917	61.40240399345714	45.73515068966268	48.39132317717678	80.7778857902558	95.56824939271856	130.54149035986916	95.01870294873275	81.24588956657645	47.056212783892	31.25479443929675	42.843518048553065	97.11605284751258	45.12851930945197	98.16836027617238	46.76570927477189	31.813628539225935	10.323119273534932	61.569728913434254	67.7209230859022	0.0	0.0	0.0	67.25130695106354	65.50140492500839	0.0	0.0	21.60003903287268	47.507300537504506	65.4265644752368	14.099640726820857	0.0	62.891502860338	0.0	48.8999893222379	11.791644552974697	0.0	12.100942840914897	67.8080422441473	66.50703861580449	67.0618892507508	62.01635444047715	0.0	0.0	0.0	0.0	18.410139786023493	0.0	0.0	0.0	0.0
180000	-2622.7069331493576	-222.73250476054585	-2165.540872113667	-234.43355627514484	0.8612371309026724	0.4155957849761523	0.5374424437358537	0.2296625724246799	0.2272056645832345	0.8248854920905677	1.1106173293134556	0.4388017313821477	1.250537835617264	129.9681567853453	0.0	6.432969415003446	18.610266155936962	0.1647599808427295	0.3692063089442473	0.04241534399218454	0.1554034038206843	0.07676690884486469	0.09287887460325565	0.038943071373709844	0.03372255752266996	0.03210767040544764	0.07933770153267009	0.013806301520582603	0.12466265492379212	0.033333053298204185	0.04290561959357461	0.003324953859323737	0.0251408314655117	0.0025900659509091443	0.02311438598892654	0.0007986705437125907	0.032743099492949276	0.009663602083608376	0.0270934681088849	0.13734512835493914	0.09793953872877645	0.024445348161940297	0.005598248017018111	0.003724583515364999	0.013126615981028177	0.09262854347433255	0.03367177668090798	0.05586316965648854	0.03625772629034738	0.0516028598012939	0.0025314870077030424	0.0023606230931255117	0.0027254541456704284	0.009440236050947487	0.00204134838604292	0.0659694290146816	0.0767488077982398	0.002653587121604	0.003856678580627626	1407.1690513993074	49.04639527604702	66.01278145631925	86.94102389581663	69.02931818576748	85.26079143728096	28.024341687408583	88.71305676087889	84.60098512268166	58.497278429330066	66.4213104703828	27.720841237473575	72.61019072692834	85.27830635580398	46.677093403525205	46.16377235022025	82.19206300492792	57.71454038692492	71.38462053020069	55.0278637764657	47.56273759700971	46.720853468737	77.2932732291603	95.29318881132454	129.9681567853453	95.18842913048128	80.53085240037545	45.82236406855593	36.43970497098156	39.260340428187234	96.427544503158	46.200819525583796	96.72808999562126	46.98205207841285	29.42804332224223	10.755954004900946	62.388739135691516	66.1095333547075	0.0	0.0	0.0	72.97101706575307	65.65193528715028	0.0	0.0	22.23975914650714	48.3280701929482	65.40737671062723	12.929247930324001	0.0	57.447360231835816	0.0	45.69283536042564	11.293070396182705	0.0	13.164387559712331	67.93530577738845	61.52099786263931	65.71337276007333	62.167834717660355	0.0	0.0	0.0	0.0	18.277175915725234	0.0	0.0	0.0	0.0
