"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-35.7722258212993	73.5899061880531	28.1249395437126	5.94961078728743e-07	1
"trait_1_ard"	-22.7546888297019	49.6473086938866	4.18234204954607	0.0940930492809723	2
"trait_2_eq"	-18.4971892045232	45.4649666443406	0	0.761625681523784	4
"trait_2_ard"	-17.9084422791221	48.8289327510153	3.36396610667474	0.141665996557027	6
"trait_3_eq"	-18.3232768788703	56.8965537577406	11.4315871134001	0.00250844150686338	9
"trait_3_ard"	-17.5840551413581	63.2200583346643	17.7550916903237	0.000106236170275214	12
