"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-38.0548659016214	78.1551863486973	31.7195413004538	1.04714365005183e-07	1
"trait_1_ard"	-24.3062113010448	52.7503536365724	6.31470858832896	0.034402942831271	2
"trait_2_eq"	-18.9825284064747	46.4356450482435	0	0.80875530257901	4
"trait_2_ard"	-18.3697799226722	49.7516080381155	3.31596298987201	0.154086619314161	6
"trait_3_eq"	-18.8113859664581	57.8727719329163	11.4371268846728	0.00265629676708906	9
"trait_3_ard"	-18.2026728994532	64.4572938508545	18.021648802611	9.87337941047637e-05	12
