"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-37.8826310444465	77.8107166343476	32.2633515533837	8.20250461951378e-08	1
"trait_1_ard"	-25.1236997581705	54.3853305508237	8.83796546985981	0.0100162334904105	2
"trait_2_eq"	-18.5383884228349	45.5473650809639	0	0.83146554512099	4
"trait_2_ard"	-17.9428938989213	48.8978359906137	3.35047090964974	0.155703632070801	6
"trait_3_eq"	-18.3802463620361	57.0104927240721	11.4631276431082	0.00269561408485457	9
"trait_3_ard"	-17.6004279766811	63.2528040053102	17.7054389243463	0.000118893207897204	12
