"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-37.6685206937855	77.3824959330255	31.3832869322258	1.26688597694887e-07	1
"trait_1_ard"	-24.3626853745079	52.8633017834985	6.86409278269882	0.0267308573894662	2
"trait_2_eq"	-18.7643103827528	45.9992090007997	0	0.827049871164021	4
"trait_2_ard"	-18.2457774477955	49.5036030883621	3.5043940875624	0.143404305644441	6
"trait_3_eq"	-18.5968414909989	57.4436829819978	11.4444739811981	0.00270642345870882	9
"trait_3_ard"	-17.9132782550888	63.8785045621257	17.879295561326	0.000108415654764983	12
