"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-37.4934371753621	77.0323288961788	31.5117496183465	1.18335070462587e-07	1
"trait_1_ard"	-23.8644898335151	51.866910701513	6.3463314236807	0.0344917001604027	2
"trait_2_eq"	-18.5249955212691	45.5205792778323	0	0.823764288938658	4
"trait_2_ard"	-18.034221492814	49.0804911783991	3.55991190056675	0.138924202909637	6
"trait_3_eq"	-18.3518174330029	56.9536348660057	11.4330555881734	0.00271110591344009	9
"trait_3_ard"	-17.6684336255525	63.3888153030531	17.8682360252208	0.00010858374279197	12
