"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-38.4301895178694	78.9058335811933	33.3115803900882	4.80751446077856e-08	1
"trait_1_ard"	-24.8825260919337	53.9029832183502	8.30873002724511	0.0129187523052465	2
"trait_2_eq"	-18.5618324779055	45.5942531911051	0	0.823073032832743	4
"trait_2_ard"	-17.9214124435952	48.8548730799615	3.26061988885643	0.161214373557058	6
"trait_3_eq"	-18.3940276593315	57.038055318663	11.443802127558	0.00269431466341886	9
"trait_3_ard"	-17.792010577286	63.63596920652	18.041716015415	9.94785663893118e-05	12
