"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-37.4926094672922	77.0306734800389	31.4021824043877	1.25440232982843e-07	1
"trait_1_ard"	-24.7047000840251	53.547331202533	7.91884012688186	0.0157681170756833	2
"trait_2_eq"	-18.5789514201785	45.6284910756511	0	0.826673699698819	4
"trait_2_ard"	-17.9836479628117	48.9793441183944	3.35085304274329	0.154776716058439	6
"trait_3_eq"	-18.4194779291155	57.088955858231	11.4604647825798	0.00268364962064785	9
"trait_3_ard"	-17.8316160897385	63.715180231425	18.0866891557739	9.76921061785885e-05	12
