clade	species	ts	te
0.0	1.0	46.56204128707723	40.470964543463886
0.0	2.0	49.5238337640267	9.535394004344111
0.0	3.0	66.9645773158868	63.07270217579374
0.0	4.0	90.03035267070516	65.91164603957886
0.0	5.0	68.46922202654619	0.0
0.0	6.0	87.04276747533248	0.0
0.0	7.0	40.87189209499043	0.0
0.0	8.0	89.25218141298568	69.48275702227275
0.0	9.0	86.22296331904472	65.53538674273778
0.0	10.0	59.90095739594679	0.0
0.0	11.0	64.98631538422269	0.0
0.0	12.0	35.48517759237381	19.189599571296124
0.0	13.0	66.10748656739699	44.80295288386158
0.0	14.0	86.22287788144496	65.760487898002
0.0	15.0	51.33435188454702	12.800608881791552
0.0	16.0	47.470802341349064	0.0
0.0	17.0	47.117653567111574	0.0
0.0	18.0	25.013930496741924	0.0
0.0	19.0	78.07068446058311	73.40419691724689
0.0	20.0	87.15504104221986	61.098405388076905
0.0	21.0	59.47508067250766	0.0
0.0	22.0	68.12698542055169	48.35912153795564
0.0	23.0	74.29375873389124	69.47968355873077
0.0	24.0	58.20631717099439	11.730864624073646
0.0	25.0	36.059555916414595	0.0
0.0	26.0	50.365217388692564	10.617780769090473
0.0	27.0	78.10181737054296	65.46854366810307
0.0	28.0	97.15662864114535	68.84333510171919
0.0	29.0	131.55794224205957	66.06073272523713
0.0	30.0	93.82321514168179	67.2506200024635
0.0	31.0	80.48020084970949	0.0
0.0	32.0	50.092901118973835	0.0
0.0	33.0	35.07484429912634	0.0
0.0	34.0	40.92352876097879	0.0
0.0	35.0	96.71839024333381	13.394439044016709
0.0	36.0	50.24871533155274	0.0
0.0	37.0	98.64427329672311	0.0
0.0	38.0	50.48172637854474	0.0
0.0	39.0	34.09351303359941	0.0
