"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-60.6840349774188	125.50600098932	15.4505605835983	0.000428407863385618
"OU1"	3	-55.3890162088145	117.057102185071	7.00166177934886	0.0292760512052505
"OUM"	4	-50.7924260852139	110.055440405722	0	0.970295540931364
