"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-208.36988060509	420.877692244662	242.803127380509	1.50626917315694e-53
"OU1"	3	-87.2707782665114	180.820626300465	2.74606143631138	0.202130629611721
"OUM"	4	-84.8019883144296	178.074564864153	0	0.797869370388279
