"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-54.006261705579	112.150454445641	4.86663440680036	0.0446922763514593
"OU1"	3	-50.5023751356993	107.283820038841	0	0.509341085686949
"OUM"	4	-49.5394896568598	107.549567549014	0.265747510173171	0.445966637961592
