"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-131.635658683361	267.409248401204	96.5202051727789	9.07247266784282e-22
"OU1"	3	-83.8604354445442	173.99994065653	3.11089742810529	0.174300697268785
"OUM"	4	-81.2092274965654	170.889043228425	0	0.825699302731215
