"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-91.1564104732277	186.450751980938	28.1592269390651	4.06163286874757e-07
"OU1"	3	-76.1220823031014	158.523234373645	0.231709331771469	0.471068495366795
"OUM"	4	-74.9104684032895	158.291525041873	0	0.528931098469918
