"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-57.026236026564	118.190403087611	14.0198861119752	0.000871239909320743
"OU1"	3	-52.287039793227	110.853149353896	6.68263237826019	0.0341509009580341
"OUM"	4	-47.8499643701707	104.170516975636	0	0.964977859132645
