"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-68.0665797188577	140.271090472198	19.549351396001	5.56971542025654e-05
"OU1"	3	-61.0812876790863	128.441645125615	7.71990604941742	0.0206330972356908
"OUM"	4	-56.1255754204515	120.721739076197	0	0.979311205610107
