clade	species	ts	te
0.0	1.0	46.53523016057696	40.37677204955129
0.0	2.0	49.40938840932059	8.699677695689543
0.0	3.0	67.00735307612834	61.00623815741305
0.0	4.0	90.83017205850412	65.64391231433127
0.0	5.0	67.5065308231206	0.0
0.0	6.0	86.94810450021397	0.0
0.0	7.0	36.46216160018406	0.0
0.0	8.0	89.69558627399519	68.68988089429774
0.0	9.0	87.25755106846185	65.12358998848899
0.0	10.0	61.06737002932497	0.0
0.0	11.0	63.801815979144024	0.0
0.0	12.0	32.89998995519367	18.971137347105564
0.0	13.0	68.28227281341383	45.05812084200804
0.0	14.0	84.92724996765105	68.48113846590476
0.0	15.0	49.29835021168292	13.842185998778298
0.0	16.0	46.942657158790624	0.0
0.0	17.0	46.86744286088003	0.0
0.0	18.0	25.023024179652573	0.0
0.0	19.0	75.10662000112139	70.41224883836988
0.0	20.0	87.26383921891352	59.26780580897772
0.0	21.0	59.58424927487458	0.0
0.0	22.0	67.12584324428188	48.29817639106351
0.0	23.0	71.1459176563413	69.03954273005272
0.0	24.0	57.984816140691166	9.210735878497605
0.0	25.0	35.69986077412637	0.0
0.0	26.0	50.322799939701795	10.013862022304703
0.0	27.0	75.89727618496947	66.82052948761478
0.0	28.0	96.73307652124961	65.94440495533243
0.0	29.0	130.75830313132235	68.6690581867046
0.0	30.0	93.91613477716248	66.15110986359461
0.0	31.0	80.06697686573187	0.0
0.0	32.0	49.93114657907298	0.0
0.0	33.0	33.8747617108558	0.0
0.0	34.0	43.72437606758791	0.0
0.0	35.0	96.54062431744056	12.331083989169144
0.0	36.0	46.990772198298	0.0
0.0	37.0	99.55795313977093	0.0
0.0	38.0	49.748443062053774	0.0
0.0	39.0	33.011172238833375	0.0
