clade	species	ts	te
0.0	1.0	45.08160674310593	42.02202401983698
0.0	2.0	45.29293873299326	39.23468224214545
0.0	3.0	16.23885566827417	13.60593980353397
0.0	4.0	65.9803447110318	60.514695875120935
0.0	5.0	66.18398781126162	64.53917953080288
0.0	6.0	83.73692992573702	67.0556653936626
0.0	7.0	86.45993293433807	82.76199771678509
0.0	8.0	20.659019465996078	0.0
0.0	9.0	20.632633289789133	18.016740975975996
0.0	10.0	24.90006556790541	14.155401364263199
0.0	11.0	6.4399722865597155	0.0
0.0	12.0	24.281774528412857	22.45496639027058
0.0	13.0	83.94460727294573	60.80705127607548
0.0	14.0	77.74381994719347	66.70610983773116
0.0	15.0	45.252032667528155	42.15912253735824
0.0	16.0	6.674075092037659	0.0
0.0	17.0	74.84712773521468	73.1006400034723
0.0	18.0	84.78777990617917	83.07510590789578
0.0	19.0	85.99098348828403	84.64852167572488
0.0	20.0	70.87533379955507	66.57429941666209
0.0	21.0	78.1602635927127	75.12802855756655
0.0	22.0	84.7762232106367	72.36436554227372
0.0	23.0	5.93552543312918	3.6431967188726166
0.0	24.0	21.260305433628304	0.0
0.0	25.0	16.232924105962297	13.872336690210192
0.0	26.0	59.38091271844514	58.06683478378615
0.0	27.0	45.34327324487555	42.100552660545965
0.0	28.0	18.919121730358555	0.0
0.0	29.0	20.915203221951842	19.07622223359107
0.0	30.0	30.129857994710964	18.91130972252124
0.0	31.0	53.02741450706884	48.56576402842674
0.0	32.0	57.84201144121944	51.59298383017659
0.0	33.0	70.34552272046683	65.43071852303099
0.0	34.0	82.92060019755985	70.27928105509032
0.0	35.0	44.785538268677634	41.017259315657796
0.0	36.0	19.075849917076113	16.124190054410285
0.0	37.0	30.64129546491172	20.432995235293323
0.0	38.0	44.963827213117426	41.81849252791655
0.0	39.0	16.838077619859423	14.30578329747394
0.0	40.0	74.16080146100782	72.50066707856111
0.0	41.0	71.02361989997684	63.238253733037375
0.0	42.0	83.81992259268333	82.21729771211352
0.0	43.0	7.338658590881442	4.9773465925355564
0.0	44.0	21.056845334554485	2.0924744024250908
0.0	45.0	57.05925274819946	36.166848555737516
0.0	46.0	66.54247403613286	47.23853880123666
0.0	47.0	71.53475116035713	69.9371816859312
0.0	48.0	33.31668353454262	26.307979900301554
0.0	49.0	6.268865185641272	0.0
0.0	50.0	21.335696660336648	19.54139179834965
0.0	51.0	23.365182913230303	10.762541005898532
0.0	52.0	49.47217506994613	37.75010679954081
0.0	53.0	74.53787491582213	66.48915397361675
0.0	54.0	68.13963581240911	66.78216565927964
0.0	55.0	94.30978314952027	93.79282433527099
0.0	56.0	76.18345783879819	69.68580099775068
0.0	57.0	129.01866138671213	127.62247449730725
0.0	58.0	98.46645876067839	93.9597052460571
0.0	59.0	108.66613370196517	93.93050447928985
0.0	60.0	109.20073311514913	105.14672634044945
0.0	61.0	112.08699210240081	94.73759132398065
0.0	62.0	70.39533612781257	69.04653768598672
0.0	63.0	91.00642293932773	73.7633201381396
0.0	64.0	73.2152877555113	71.58990503929488
0.0	65.0	6.122172934429616	0.0
0.0	66.0	28.248627920841013	25.23107401327101
0.0	67.0	45.14708221535485	41.980528359140294
0.0	68.0	6.089282878709473	0.0
0.0	69.0	17.219181532735707	14.41135730558786
0.0	70.0	6.387535651411375	0.0
0.0	71.0	31.698470540079647	30.353607155024296
0.0	72.0	6.251281610810074	0.0
0.0	73.0	66.69070638785043	54.62964703971514
0.0	74.0	74.41069181976576	72.67921928018289
0.0	75.0	48.57883543212612	37.52041527294372
0.0	76.0	45.51534381063378	39.15248832334423
0.0	77.0	30.954340095528767	13.80762537377853
0.0	78.0	6.16490904039498	0.0
0.0	79.0	15.159532142252989	12.313390344011323
0.0	80.0	69.0059723848678	67.75667469631695
0.0	81.0	77.59822487307378	70.03611416931062
0.0	82.0	77.36600474945607	74.5226802126871
0.0	83.0	6.287719625566706	0.0
0.0	84.0	66.63704491116859	50.148363795265475
0.0	85.0	34.23949927375908	14.327237812736733
0.0	86.0	69.27926738120617	60.98085316005607
0.0	87.0	70.23253835463203	65.12562961977245
0.0	88.0	66.5428642403942	40.61572753858282
0.0	89.0	76.61141805311824	74.23052462197076
0.0	90.0	20.90987221696426	2.245115562254964
0.0	91.0	50.67344525735151	48.01432664560686
0.0	92.0	4.208998322788647	0.0
0.0	93.0	65.71284047744506	64.2262794354209
0.0	94.0	83.5449417393466	70.46762997998744
0.0	95.0	53.92111906888016	40.23279838722183
0.0	96.0	53.44444690232603	39.92931223791527
0.0	97.0	77.77610998350953	71.49530780673052
0.0	98.0	44.854260385875975	41.801969384629636
0.0	99.0	22.677864833218674	0.0
