Order	Family	Genus	Species	Ts_rep_1	Te_rep_1	Ts_rep_2	Te_rep_2	Ts_rep_3	Te_rep_3	Ts_rep_4	Te_rep_4	Ts_rep_5	Te_rep_5	Ts_rep_6	Te_rep_6	Ts_rep_7	Te_rep_7	Ts_rep_8	Te_rep_8	Ts_rep_9	Te_rep_9	Ts_rep_10	Te_rep_10	Ts_rep_11	Te_rep_11	Ts_rep_12	Te_rep_12	Ts_rep_13	Te_rep_13	Ts_rep_14	Te_rep_14	Ts_rep_15	Te_rep_15	Ts_rep_16	Te_rep_16	Ts_rep_17	Te_rep_17	Ts_rep_18	Te_rep_18	Ts_rep_19	Te_rep_19	Ts_rep_20	Te_rep_20
Squaliformes	Dalatiidae	Acrosqualiolus	Acrosqualiolus_mirus	45.7086860421488	41.2312361172679	44.1851199640601	42.2263797281942	44.6077235445245	41.9947765822131	44.8072880327099	41.9633916019497	44.8458427084393	42.7527812305394	45.1968726941188	41.4320081239568	45.5972691348986	41.0848626811218	45.2013187178962	42.0651145066367	44.9074531132476	41.8522015377386	45.4296363598839	42.5024118058242	45.1084969388459	42.3090186048673	45.0878752891892	41.6332589591791	44.9902293408581	41.9729845441366	44.7483127439631	42.3237499450468	45.2231094867263	42.5358029806947	45.126214743693	41.9914406037768	45.3648080278975	41.4245715220286	45.1449224755603	42.1815156490417	45.65013078152	41.9329902924825	44.2455996297581	42.2568208612832
Squaliformes	Dalatiidae	Angoumeius	Angoumeius_paradoxus	46.1061316247219	39.0916637503188	45.0128250683724	39.8376144098626	45.2681365394934	37.2256756683373	45.3911642046702	39.6054024738209	45.0558140162559	40.366499179055	45.752174851291	38.4810597837933	46.1378851795371	39.3224260235905	45.4484394382444	39.1952919861622	45.5388489845026	37.5914608858144	45.530478306572	38.0816903015849	45.7540936717138	40.026000685619	45.5585095185162	37.3235992748329	45.5112404436425	39.9167857457124	45.4445201760011	40.3964581027731	45.9732567448972	39.3305715112875	45.5429419305134	37.5226034657917	46.2038837179322	39.3065924332531	45.2209239926705	38.6766104848076	46.0960121606537	37.977651554217	45.2738431318336	40.2876914019561
Squaliformes	Dalatiidae	Angoumeius	Angoumeius_sanadaensis	13.0191178102771	11.5854676763735	13.6639012699632	11.6908253827122	13.2179945132575	11.5210236653161	13.9579063150706	12.4318131140423	13.0858449439449	11.3491815756875	16.5757132740048	14.5555001186029	15.8537728506979	14.0007705014168	16.1894343574319	13.628163974867	13.5431529829591	11.5695921983828	15.8224180080921	13.4580897902799	16.8914932775978	14.4873453718556	12.7790622727255	11.1292959527195	14.9654246496963	12.838289297621	12.6547402862831	11.1166638871226	14.9795296087961	12.598235198181	15.5860444600137	13.3224129676801	13.9768574012914	12.1858573862294	15.3794805101699	13.1407494635041	15.2655325349431	13.0034926951811	16.409192639034	14.4384160422053
Squaliformes	Centrophoridae	Centrodeania	Centrodeania_annae	63.4691738563347	61.9125863668614	63.7554514731618	61.7956658976871	65.1734395018005	63.5754736948121	64.4559043858203	61.3173529814797	63.5651656670664	60.9054550510862	64.3262869058453	61.3384916319493	67.2051083057509	62.1310496117646	66.4041251782831	60.4364080051555	66.2353749803041	61.7860815829909	65.1696126121182	61.9867774733602	66.6965477367431	63.0782286141247	66.054960028724	64.1563114738465	66.7384719263753	61.375549487472	63.183062910734	61.2620603022667	66.6525604729403	62.3952610462784	66.1067818253624	63.4308260477424	66.4751212532765	62.2810999251085	63.733818754179	61.4325378369434	66.8535464431548	60.7706241989334	65.6713732226406	61.2994837285315
Squaliformes	Centrophoridae	Centrodeania	Centrodeania_rugosa	65.0380267798609	61.4606574441168	65.7667725237365	61.629172921379	63.9324618443674	62.1800039807621	66.7544707885091	62.23463423566	65.0651725919003	61.278956942786	65.2116671017593	60.8723054092545	66.4099258897157	61.8010682477343	66.7197142352184	64.3292665460444	66.7419084435817	64.1288683447263	64.8103871634657	62.7320808305048	66.6917920141087	63.1718361200417	66.0715929495044	62.4864417872469	66.2227431109494	61.3556662890091	67.1122974889852	63.8967746013304	65.5828549756945	62.0166392306817	64.5215937766716	62.3088817382137	65.1264478545394	62.4687234529217	66.1428490014255	63.5883442884429	66.5767903536662	61.8246311015574	66.7539099882522	63.5084867907988
Squaliformes	Squalidae	Centrophoroides	Centrophoroides_appendiculatus	84.2465381704504	65.873854079853	82.3626357071905	65.5875209108247	83.8719399408157	65.7251334050965	84.714694134795	67.183942146666	84.3183550675715	65.3473376873561	83.4259833619026	65.5699860998114	84.5486404041256	65.2506010427359	83.6720602061254	67.007144372219	84.220694065727	67.1616173948044	83.3650736340571	65.7370752765025	84.9109501836691	66.3608934613072	83.9917761061692	66.0893402507825	84.329598842943	65.7258253227832	84.119178855064	65.4434396296838	83.6325556612165	65.7447306541758	82.0843746135763	65.5599431246467	84.7583929434071	66.3344110468017	84.7696264086853	65.7005016210062	82.9382624805659	66.9174078123957	82.7350413879848	65.8990117005081
Squaliformes	Squalidae	Centrophoroides	Centrophoroides_latidens	85.7171947956681	82.7807680776657	85.6779379523663	84.0098297380899	86.1876124275565	83.5677705247625	85.2387101827274	83.003876575311	85.6938112951802	83.1787853757323	86.4837401677904	82.7666827027735	85.6005385542522	84.2859449096639	86.4791156080558	82.7910912181021	84.9051580717283	83.0714689130127	86.4084689953877	84.135377568385	86.2674678875558	83.5521181779836	85.2819598923836	83.5327245186654	85.1818464850852	83.7881527479987	85.2775432903849	83.0801883104987	85.7463217263228	83.7443468154448	86.198088387471	83.322650345506	86.3931282832893	83.7136435085752	86.3023081733218	83.734383905525	86.1013507394175	82.5513084571646	85.3859176378198	83.4610060622071
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_granulosus	21.0375521578321	0	21.0450720383229	0	21.3164350990792	0	21.4848261412699	0	19.4201688174265	0	20.2207242068383	0	19.9122858548789	0	20.6818363987254	0	19.189117767415	0	19.3045056361853	0	18.6705323047933	0	21.1234154949846	0	17.5395804152728	0	19.0100151754588	0	21.4001510307335	0	20.3607832933552	0	19.8755422007018	0	19.4111871994209	0	18.5018213263023	0	18.4851979665058	0
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_serratus	21.0072695308308	18.4233173187271	19.1546973111977	16.5606857971964	20.7352942933997	18.0206386903673	20.4710828613172	17.745697637698	17.4581726106613	14.8379567757698	17.9396347639642	15.9320373153527	17.1987136107997	15.1215394150661	20.6410689827731	17.984818060139	18.7754132658563	15.7366671838628	20.1239385375982	17.1258716023857	19.3330039443643	16.9542180405684	18.8193842397821	15.7097070904129	20.2413214079472	17.7513020415555	19.1659379563292	16.655250312098	20.7200415568114	18.5826093005381	19.0541151495523	16.8778619154509	20.6889478978235	17.6411365000371	18.7412323152507	16.0401197369102	20.9253038555194	18.3517845396856	20.7101610681905	18.9523910669317
Squaliformes	Centrophoridae	Centrophorus	Centrophorus_sp.-nov.	26.3091050837036	15.0548376723319	27.9915781208576	18.5826993940426	25.4185204861183	15.4644298048547	29.7890733311335	16.2064668743898	25.3409726185322	21.4413720569948	27.7815501852477	17.2340087232356	26.2548299944831	18.8591426009683	24.8539855874968	14.1557085830784	25.3179489580647	14.0377870802535	27.8105659198996	14.6711339765898	25.6857769978488	19.9284931701902	25.8250333303004	20.7539180256188	28.0564342038511	15.1888367249427	24.8415498998065	19.4997242463524	28.2960218515796	16.7464327819917	28.5516048178996	16.7544028895966	28.1012143769326	19.6749193650344	27.166738516784	14.9540212616602	26.4651827959515	15.1548212809002	28.5395128427429	21.0839346737738
