Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Squalidae	Cirrhigaleus	Cirrhigaleus australis	Extant	123	No	NA	S	White et al. (2007b)	White et al. (2007b); Duffy & Last (2015)	NA
Squaliformes	Squalidae	Cirrhigaleus	Cirrhigaleus barbifer	Extant	126	No	NA	S	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus adonis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus beauryi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus quimbalaensis	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Cretascymnus	Cretascymnus westfalicus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Dalatias	Dalatias bassanii	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Dalatias	Dalatias licha	Extant	182	Yes	Light	D	Ebert et al. (2021a)	Capapé et al. (2008); Ebert et al. (2021a)	Mallefet et al. (2021)
Squaliformes	Dalatiidae	Dalatias	Dalatias orientalis	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Dalatias	Dalatias turkmenicus	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Deania	Deania angoumeensis	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Centrophoridae	Deania	Deania calcea	Extant	162	No	NA	D	Moura et al. (2014)	Dunn et al. (2013); Moura et al. (2014)	NA
Squaliformes	Centrophoridae	Deania	Deania hystricosa	Extant	119	No	NA	D	Nakajima et al. (2022)	Nakajima et al. (2022)	NA
Squaliformes	Centrophoridae	Deania	Deania profundorum	Extant	110	No	NA	D	Sousa et al. (2009)	Sousa et al. (2009)	NA
Squaliformes	Centrophoridae	Deania	Deania quadrispinosa	Extant	119	No	NA	D	Irvine et al. (2012)	Irvine et al. (2012)	NA
Squaliformes	Centrophoridae	Deania	Deania radicans	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Dracipinna	Dracipinna bracheri	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Eodalatias	Eodalatias austrinalis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Eodalatias	Eodalatias crenulatus	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Eoetmopterus	Eoetmopterus davidi	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Eoetmopterus	Eoetmopterus supracretaceus	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Eosqualiolus	Eosqualiolus aturensis	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Dalatiidae	Eosqualiolus	Eosqualiolus skrovinai	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Etmopterus	Etmopterus acutidens	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
