Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Squalidae	Squalus	Squalus balsvikensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus bassi	Extant	110	No	NA	D	Viana et al. (2017)	Viana et al. (2017)	NA
Squaliformes	Squalidae	Squalus	Squalus blainvillei	Extant	92	No	NA	D	Ebert et al. (2021a)	Mytilineou et al. (2005)	NA
Squaliformes	Squalidae	Squalus	Squalus boretzi	Extant	95	No	NA	D	Dolganov (2019b)	Dolganov (2019b)	NA
Squaliformes	Squalidae	Squalus	Squalus brevirostris	Extant	59	No	NA	S	Duffy & Last (2007)	Duffy & Last (2007)	NA
Squaliformes	Squalidae	Squalus	Squalus bucephalus	Extant	81	No	NA	D	Last et al. (2007b)	Last et al. (2007b)	NA
Squaliformes	Squalidae	Squalus	Squalus chloroculus	Extant	86	No	NA	D	Last et al. (2007c)	Last et al. (2007c)	NA
Squaliformes	Squalidae	Squalus	Squalus clarkae	Extant	72	No	NA	D	Pfleger et al. (2018)	Pfleger et al. (2018)	NA
Squaliformes	Squalidae	Squalus	Squalus crassispinus	Extant	58	No	NA	D	Last et al. (2007a)	Last et al. (2007a)	NA
Squaliformes	Squalidae	Squalus	Squalus crenatidens	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus cubensis	Extant	110	No	NA	S	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus depauwi	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus edmundsi	Extant	112	No	NA	D	Fahmi & Sentosa (2017)	White et al. (2007a)	NA
Squaliformes	Squalidae	Squalus	Squalus formosus	Extant	81	No	NA	D	White & Iglésias 2011	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus gabrielsoni	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus grahami	Extant	71	No	NA	D	White et al. (2007a)	White et al. (2007a)	NA
Squaliformes	Squalidae	Squalus	Squalus griffini	Extant	110	No	NA	S	Duffy & Last (2007)	Duffy & Last (2007); Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus hawaiiensis	Extant	101	No	NA	D	Cotton et al. (2011); Daly-Engel et al. (2018)	Cotton et al. (2011); Daly-Engel et al. (2018)	NA
Squaliformes	Squalidae	Squalus	Squalus hemipinnis	Extant	78	No	NA	S	White et al. (2007c)	White et al. (2007c)	NA
Squaliformes	Squalidae	Squalus	Squalus huntensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus japonicus	Extant	95	No	NA	S	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus lalannei	Extant	79	No	NA	D	Baranes (2003)	Baranes (2003)	NA
Squaliformes	Squalidae	Squalus	Squalus lobularis	Extant	73	No	NA	NA	Viana et al. (2016)	NA	NA
Squaliformes	Squalidae	Squalus	Squalus longipinnis	Extant	73	No	NA	D	Fricke et al. (2023)	Fricke et al. (2023)	NA
Squaliformes	Squalidae	Squalus	Squalus mahia	Extant	59	No	NA	D	Viana et al. (2018)	Viana et al. (2018)	NA
Squaliformes	Squalidae	Squalus	Squalus margaretsmithae	Extant	54	No	NA	D	Viana et al. (2018)	Viana et al. (2018)	NA
Squaliformes	Squalidae	Squalus	Squalus megalops	Extant	89	No	NA	S	Ebert et al. (2021a)	Bernardes et al. (2005)	NA
Squaliformes	Squalidae	Squalus	Squalus melanurus	Extant	75	No	NA	D	Viana & de Carvalho (2018a)	Viana & de Carvalho (2018a)	NA
Squaliformes	Squalidae	Squalus	Squalus minor	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus mitsukurii	Extant	125	No	NA	S	Ebert et al. (2021a)	Taniuchi & Tachikawa (1997)	NA
Squaliformes	Squalidae	Squalus	Squalus montalbani	Extant	95	No	NA	S	Last et al. (2007c)	Last et al. (2007c)	NA
Squaliformes	Squalidae	Squalus	Squalus nasutus	Extant	59	No	NA	D	Last et al. (2007e)	Last et al. (2007e)	NA
Squaliformes	Squalidae	Squalus	Squalus nicholsae	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus notocaudatus	Extant	62	No	NA	D	Last et al. (2007d)	Last et al. (2007d)	NA
Squaliformes	Squalidae	Squalus	Squalus occidentalis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus probatovi	Extant	79	No	NA	D	Viana & de Carvalho (2018b)	Viana & de Carvalho (2018b)	NA
Squaliformes	Squalidae	Squalus	Squalus quasimodo	Extant	93	No	NA	NA	Tagliafico et al. (2019)	NA	NA
Squaliformes	Squalidae	Squalus	Squalus raoulensis	Extant	73	No	NA	D	Duffy & Last (2007)	Duffy & Last (2007)	NA
Squaliformes	Squalidae	Squalus	Squalus shiraii	Extant	77	No	NA	D	Viana & de Carvalho (2020)	Viana & de Carvalho (2020)	NA
Squaliformes	Squalidae	Squalus	Squalus smithi	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus suckleyi	Extant	150	No	NA	S	Ebert et al. (2021a)	Ebert et al. (2021a)	NA
Squaliformes	Squalidae	Squalus	Squalus volgensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus vondermarcki	Extinct	NA	NA	NA	M	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus weltoni	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus woodburnei	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Squalidae	Squalus	Squalus worlandensis	Extinct	NA	NA	NA	S	NA	See Supplementary Table S1	NA
Squaliformes	Etmopteridae	Trigonognathus	Trigonognathus kabeyai	Extant	54	Yes	Light	D	Yano et al. (2003)	Yano et al. (2003)	Duchatelet et al. (2021)
Squaliformes	Etmopteridae	Trigonognathus	Trigonognathus virginiae	Extinct	NA	NA	NA	D	NA	See Supplementary Table S1	NA
Squaliformes	Somniosidae	Zameus	Zameus squamulosus	Extant	84	Yes	Light	D	Crow et al. (2018)	Crow et al. (2018)	Duchatelet et al. (2021)
