Order	Family	Genus	Species	Ts	Te	Ts_sd	Te_sd
Squaliformes	Oxynotidae	Oxynotus	Oxynotus_centrina	6.45773548948319	0	0.178798314999994	0
Squaliformes	Oxynotidae	Oxynotus	Oxynotus_crochardi	22.7785725277675	20.8038904870448	0.944360276532348	0.848549007718854
Squaliformes	Etmopteridae	Paraetmopterus	Paraetmopterus_horvathi	23.1758132066004	11.6710609558624	0.794452068036489	0.600531157610312
Squaliformes	Etmopteridae	Paraetmopterus	Paraetmopterus_nolfi	49.2884011963419	38.7203667559221	0.570044055235372	0.976719583945063
Squaliformes	Etmopteridae	Proetmopterus	Proetmopterus_hemmooriensis	76.3809076961543	66.2503708047852	1.2297814388677	0.809019508345507
Squaliformes	Etmopteridae	Proetmopterus	Proetmopterus_lukasi	69.5146046984556	66.4384817931231	1.39757928561519	0.785121500232377
Squaliformes	Centrophoridae	Protocentrophorus	Protocentrophorus_balticus	95.1852910047325	94.3738986547593	0.814452371409475	0.321581132788934
Squaliformes	Centrophoridae	Protocentrophorus	Protocentrophorus_steviae	77.4709454319838	70.5256195220993	3.2163575412093	3.09630833095686
Squaliformes	Squalidae	Protosqualus	Protosqualus_albertsi	128.862706757383	127.461271647688	1.41886107554641	1.39027709856858
Squaliformes	Squalidae	Protosqualus	Protosqualus_barringtonensis	100.665081575438	94.0834299009045	0.873461708778806	0.456700162418818
Squaliformes	Squalidae	Protosqualus	Protosqualus_glickmani	105.864905487377	93.9766071043041	2.59468066441502	0.499699114862512
Squaliformes	Squalidae	Protosqualus	Protosqualus_pachyrhiza	110.468025390182	100.940856595046	0.840137817344532	2.55862135568358
Squaliformes	Squalidae	Protosqualus	Protosqualus_sigei	113.01665558667	94.7537244465228	0.948296685328032	0.094676878160107
Squaliformes	Somniosidae	Protoxynotus	Protoxynotus_mayrmelnhofi	68.8951028379107	67.4765175218745	1.31044430988826	1.21469834202109
Squaliformes	Somniosidae	Protoxynotus	Protoxynotus_misburgensis	91.0145691657701	72.5237278353962	0.552724820930537	1.07610515137787
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus_clarki	74.9407722286185	72.8139352816382	1.69914348058291	1.31097738816746
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus_rostratus	6.17726773524578	0	0.172135580599163	0
Squaliformes	Somniosidae	Rhinoscymnus	Rhinoscymnus_viridiadamas	26.5621775951254	24.7059973942168	1.45697205138064	1.414624821393
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias_cigalafulgosii	45.0293716072428	42.0187436625869	0.403792804122483	0.423513562544709
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias_garricki	6.1259884502798	0	0.160411592862758	0
Squaliformes	Somniosidae	Scymnodalatias	Scymnodalatias_kazenobon	17.0112798416227	14.4987218653635	0.244509764907575	0.121453920398454
Squaliformes	Somniosidae	Scymnodon	Scymnodon_ringens	6.17749928415922	0	0.163274509726213	0
Squaliformes	Somniosidae	Somniosus	Somniosus_gonzalezi	31.7918783305338	30.607509031456	1.57190983788873	1.92343819056793
Squaliformes	Somniosidae	Somniosus	Somniosus_microcephalus	6.19010682300934	0	0.165606764897616	0
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias_goordi	64.9659812841662	56.6802096320391	1.35629177734979	2.7570397592201
Squaliformes	Dalatiidae	Squaliodalatias	Squaliodalatias_savoiei	75.3063175585915	73.1520169051169	1.3313587238734	1.07840105457883
