"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-50.2679652388872	102.576746804305	29.2334163551737	3.87059340676193e-07	1
"trait_1_ard"	-37.476071310708	79.0758539616222	5.73252351249093	0.0490830558105351	2
"trait_2_eq"	-34.7775753163107	77.9762032642003	4.63287281506905	0.0850584977361403	4
"trait_2_ard"	-30.2200523213398	73.3433304491312	0	0.862448671627671	6
"trait_3_eq"	-34.4107801628426	88.8215603256852	15.478229876554	0.000375559147965412	9
"trait_3_ard"	-28.5285120199683	84.6432309364883	11.299900487357	0.0030338286183477	12
