"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-51.2932746833724	104.626953407149	25.696856807119	1.95047174644274e-06	1
"trait_1_ard"	-38.8938791694606	81.910207318513	2.98011071848309	0.167116141687883	2
"trait_2_eq"	-37.3838242937655	83.1843152541976	4.25421865416773	0.0883790598504682	4
"trait_2_ard"	-33.0182397893767	78.9300966000299	0	0.741551334019628	6
"trait_3_eq"	-36.9303603864281	93.8387427508781	14.9086461508482	0.00042930885117326	9
"trait_3_ard"	-31.3759318502802	90.297318246015	11.3672216459851	0.00252220511910094	12
