Taxon_name	Status	MinAge	MaxAge
Isistius_trituratus	extinct	41.001	47.8
Isistius_trituratus	extinct	56.001	59.2
Isistius_trituratus	extinct	47.801	56
Isistius_trituratus	extinct	47.801	56
Isistius_trituratus	extinct	33.901	56
Isistius_trituratus	extinct	47.801	56
Isistius_trituratus	extinct	47.801	56
Isistius_trituratus	extinct	33.901	38
Isistius_trituratus	extinct	47.801	56
Isistius_trituratus	extinct	38.001	47.8
Isistius_trituratus	extinct	41.001	47.8
Isistius_trituratus	extinct	41.001	47.8
Isistius_trituratus	extinct	41.001	47.8
Isistius_trituratus	extinct	49.111	53.7
Megasqualus_orpiensis	extinct	59.201	61.6
Megasqualus_orpiensis	extinct	59.201	61.6
Megasqualus_orpiensis	extinct	59.201	61.6
Megasqualus_orpiensis	extinct	56.001	59.2
Megasqualus_orpiensis	extinct	56.001	59.2
Megasqualus_orpiensis	extinct	59.201	61.6
Megasqualus_orpiensis	extinct	56.001	59.2
Megasqualus_orpiensis	extinct	61.601	66
Megasqualus_orpiensis	extinct	47.801	56
Megasqualus_orpiensis	extinct	47.801	56
Megasqualus_orpiensis	extinct	47.801	56
Megasqualus_orpiensis	extinct	56.001	59.2
Megasqualus_orpiensis	extinct	56.001	66
Oligodalatias_jordani	extinct	28.101	33.9
Oligodalatias_jordani	extinct	28.101	33.9
Oxynotus_centrina	extant	3.601	5.333
Oxynotus_centrina	extant	3.601	5.333
Paraetmopterus_horvathi	extinct	15.971	20.44
Paraetmopterus_horvathi	extinct	16.488	17.277
Paraetmopterus_horvathi	extinct	15.155	16.556
Paraetmopterus_horvathi	extinct	20.441	23.03
Paraetmopterus_horvathi	extinct	15.971	20.44
Paraetmopterus_horvathi	extinct	11.631	13.82
Paraetmopterus_nolfi	extinct	43.151	43.88
Paraetmopterus_nolfi	extinct	38.261	41.94
Paraetmopterus_nolfi	extinct	46.291	47.73
Proetmopterus_hemmooriensis	extinct	66.001	70.1
Proetmopterus_hemmooriensis	extinct	72.101	76.4
Proetmopterus_hemmooriensis	extinct	66.001	70.1
Proetmopterus_hemmooriensis	extinct	72.101	76.4
Proetmopterus_hemmooriensis	extinct	70.101	72.1
Proetmopterus_lukasi	extinct	66.001	70.1
Proetmopterus_lukasi	extinct	66.001	70.1
Protocentrophorus_steviae	extinct	66.001	83.6
Protocentrophorus_steviae	extinct	72.101	76.4
Protosqualus_barringtonensis	extinct	96.201	100.5
Protosqualus_barringtonensis	extinct	93.901	95.5
Protosqualus_barringtonensis	extinct	95.501	96.2
Protosqualus_barringtonensis	extinct	93.901	100.5
Protosqualus_glickmani	extinct	100.501	107.6
Protosqualus_glickmani	extinct	96.201	100.5
Protosqualus_glickmani	extinct	93.901	95.5
Protosqualus_glickmani	extinct	93.901	95.5
Protosqualus_pachyrhiza	extinct	100.501	107.6
Protosqualus_pachyrhiza	extinct	107.601	110.2
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	110.201	113
Protosqualus_sigei	extinct	107.601	110.2
Protosqualus_sigei	extinct	107.601	110.2
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	110.201	113
Protosqualus_sigei	extinct	107.601	110.2
Protosqualus_sigei	extinct	100.501	110.2
Protosqualus_sigei	extinct	107.601	110.2
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	100.501	107.6
Protosqualus_sigei	extinct	96.201	100.5
Protosqualus_sigei	extinct	96.201	100.5
Protosqualus_sigei	extinct	95.501	96.2
Protoxynotus_misburgensis	extinct	72.101	76.4
Protoxynotus_misburgensis	extinct	89.801	91.4
Protoxynotus_misburgensis	extinct	80.601	83.6
Protoxynotus_misburgensis	extinct	80.601	83.6
Protoxynotus_misburgensis	extinct	83.601	85.8
Scymnodon_ringens	extant	3.601	5.333
Scymnodon_ringens	extant	0.0118	2.588
Scymnodon_ringens	extant	0.0118	2.588
Scymnodon_ringens	extant	2.589	5.333
Squaliodalatias_goordi	extinct	56.001	61.6
Squaliodalatias_goordi	extinct	61.601	66
Squaliodalatias_weltoni	extinct	41.001	47.8
Squaliodalatias_weltoni	extinct	43.151	43.88
Squaliodalatias_weltoni	extinct	46.291	47.73
Squaliodalatias_weltoni	extinct	38.261	41.94
Squaliolus_gasconensis	extinct	43.151	43.88
Squaliolus_gasconensis	extinct	38.261	41.94
Squaliolus_schaubi	extinct	15.971	23.03
Squaliolus_schaubi	extinct	15.971	20.44
Squaliolus_schaubi	extinct	13.821	15.97
Squaliolus_schaubi	extinct	15.971	23.03
Squaliolus_schaubi	extinct	11.621	15.97
Squaliolus_schaubi	extinct	16.488	17.277
Squaliolus_schaubi	extinct	15.155	16.556
Squaliolus_schaubi	extinct	23.031	33.9
Squalus_ballingsloevensis	extinct	72.101	76.4
Squalus_ballingsloevensis	extinct	66.001	72.1
Squalus_blainvillei	extant	3.601	5.333
Squalus_blainvillei	extant	3.601	5.333
Squalus_crenatidens	extinct	61.601	66
Squalus_crenatidens	extinct	59.201	66
Squalus_crenatidens	extinct	47.801	56
Squalus_crenatidens	extinct	56.001	66
Squalus_crenatidens	extinct	61.601	66
Squalus_crenatidens	extinct	56.001	59.2
Squalus_crenatidens	extinct	56.001	59.2
Squalus_crenatidens	extinct	61.601	66
Squalus_crenatidens	extinct	61.601	66
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	23.031	33.9
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	23.031	28.1
Squalus_depauwi	extinct	15.971	20.44
Squalus_depauwi	extinct	23.031	28.1
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	23.031	28.1
Squalus_depauwi	extinct	28.101	33.9
Squalus_depauwi	extinct	13.821	15.97
Squalus_gabrielsoni	extinct	66.001	72.1
Squalus_gabrielsoni	extinct	66.001	70.1
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_gabrielsoni	extinct	61.601	66
Squalus_huntensis	extinct	66.001	70.1
Squalus_huntensis	extinct	66.001	72.1
Squalus_minor	extinct	59.201	61.6
Squalus_minor	extinct	59.201	61.6
Squalus_minor	extinct	56.001	59.2
Squalus_minor	extinct	56.001	59.2
Squalus_minor	extinct	61.601	66
Squalus_minor	extinct	56.001	59.2
Squalus_minor	extinct	59.201	61.6
Squalus_minor	extinct	41.001	47.8
Squalus_minor	extinct	41.001	47.8
Squalus_minor	extinct	56.001	59.2
Squalus_minor	extinct	56.001	66
Squalus_minor	extinct	59.201	61.6
Squalus_minor	extinct	49.111	53.7
Squalus_occidentalis	extinct	5.334	23.03
Squalus_occidentalis	extinct	5.334	23.03
Squalus_occidentalis	extinct	5.334	23.03
Squalus_occidentalis	extinct	2.589	5.333
Squalus_suckleyi	extant	0.0119	0.126
Squalus_suckleyi	extant	0.0118	2.588
Squalus_suckleyi	extant	0.127	0.773
Squalus_suckleyi	extant	0.127	0.773
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	70.101	72.1
Squalus_vondermarcki	extinct	66.001	83.6
Squalus_vondermarcki	extinct	72.101	76.4
Squalus_vondermarcki	extinct	80.601	83.6
Squalus_weltoni	extinct	49	51
Squalus_weltoni	extinct	41	42.5
Squalus_weltoni	extinct	51	52.5
Squalus_woodburnei	extinct	49	51
Squalus_woodburnei	extinct	41	42.5
Squalus_woodburnei	extinct	51	52.5
Squalus_worlandensis	extinct	72.101	76.4
Squalus_worlandensis	extinct	72.101	76.4
Zameus_squamulosus	extant	15.971	23.03
Zameus_squamulosus	extant	3.601	5.333
Zameus_squamulosus	extant	3.601	5.333
