clade	species	ts	te
0.0	1.0	46.56410011082634	39.17677006607359
0.0	2.0	65.96027340605872	61.477858469000005
0.0	3.0	64.30415331457621	61.41017676669177
0.0	4.0	84.99315462467906	65.93772315597947
0.0	5.0	85.78039156253007	82.74185045754798
0.0	6.0	21.577553431890475	0.0
0.0	7.0	28.496467074798883	18.67993520780887
0.0	8.0	6.624825203419814	0.0
0.0	9.0	85.04113088729939	60.87362077263452
0.0	10.0	79.14333511222841	65.40117413630558
0.0	11.0	6.6711550344117265	0.0
0.0	12.0	70.07860863014264	65.45985609932069
0.0	13.0	85.14686614135117	70.15193055144094
0.0	14.0	23.82874962274173	0.0
0.0	15.0	22.012710116823513	0.0
0.0	16.0	27.31160105425493	18.222429345089008
0.0	17.0	52.72467565954617	48.093895877478474
0.0	18.0	59.749077949527546	47.808826087918604
0.0	19.0	69.39693183562787	66.36230186107015
0.0	20.0	84.38619372143339	69.81203222095445
0.0	21.0	46.04434730197092	40.03233369858293
0.0	22.0	33.640817917783814	18.296136587778324
0.0	23.0	71.5768456224912	63.73826570218252
0.0	24.0	21.019892828804075	1.977762801883307
0.0	25.0	56.859299411324585	36.523133510245835
0.0	26.0	67.10037735873712	45.43885247990219
0.0	27.0	33.7437266362649	28.518856073462846
0.0	28.0	6.937642119077318	0.0
0.0	29.0	23.01270531509092	11.513047452817785
0.0	30.0	50.01993936069202	37.88364230585861
0.0	31.0	78.51725267350207	66.80839545810461
0.0	32.0	67.46645133770414	65.45907381734973
0.0	33.0	84.94083265913483	70.67234173896854
0.0	34.0	98.56603596786573	94.21314218723636
0.0	35.0	108.91747522820395	93.57088398406519
0.0	36.0	110.67040955317589	99.34607125688446
0.0	37.0	113.0812329545954	94.83963859269723
0.0	38.0	91.04266032294136	70.97825011561481
0.0	39.0	6.599165102794745	0.0
0.0	40.0	67.04819668122694	59.49816658449436
0.0	41.0	49.805127312612356	38.85671123655412
0.0	42.0	46.72174758784546	38.15432991703899
0.0	43.0	25.463708208468034	12.30473390422473
0.0	44.0	77.47077664004006	67.08619970158257
0.0	45.0	6.6817127144330675	0.0
0.0	46.0	66.28172175791696	51.76027809946552
0.0	47.0	34.34610382756262	13.561289922401917
0.0	48.0	70.55742868834092	61.162320114192866
0.0	49.0	68.64324316592231	64.66185196586082
0.0	50.0	67.10270325430247	39.22407193793492
0.0	51.0	22.69330911155777	2.488910213202538
0.0	52.0	1.5910445930162327	0.0
0.0	53.0	84.22748719935664	69.01928620671687
0.0	54.0	53.46436712131798	39.506034842497996
0.0	55.0	53.27423466349772	39.33600530624936
0.0	56.0	76.97811825178515	71.4784752400423
0.0	57.0	21.61190765377277	0.0
