"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.390928222869	28.8218564457381	0	0.598796715247911	1
"trait_1_ard"	-12.8872337894985	29.8956797002092	1.07382325447113	0.350027085886726	2
"trait_2_eq"	-12.8630293112129	34.1384297564464	5.31657331070828	0.0419565899692391	4
"trait_2_ard"	-12.1676908862469	37.2195922988096	8.39773585307156	0.00898947312909876	6
"trait_3_eq"	-12.3318141817137	44.6201501025578	15.7982936568197	0.000222189499151517	9
"trait_3_ard"	-11.8880943114385	51.2818066004051	22.459950154667	7.94626787393855e-06	12
