"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.3351764770394	28.7111692806094	0	0.610992771033867	1
"trait_1_ard"	-12.837963698263	29.7996387367322	1.08846945612281	0.354550361613433	2
"trait_2_eq"	-13.3351764535418	35.0914055386626	6.38023625805315	0.0251527440690337	4
"trait_2_ard"	-12.1153908203914	37.1340074472343	8.42283816662487	0.00905816032155753	6
"trait_3_eq"	-12.2301934018457	44.4603868036914	15.7492175230819	0.000232346930593898	9
"trait_3_ard"	-11.2740737123488	50.1343543212493	21.4231850406398	1.36160315151445e-05	12
