"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.2488509437234	28.5377018874469	0	0.59008618424282	1
"trait_1_ard"	-12.7018882568903	29.5249886349927	0.987286747545845	0.360187679463422	2
"trait_2_eq"	-12.7487096039128	33.9097903418463	5.37208845439942	0.0402143691789431	4
"trait_2_ard"	-11.9788814327977	36.8419733919112	8.30427150446432	0.00928251802587527	6
"trait_3_eq"	-12.1865022399634	44.3295262190572	15.7918243316103	0.000219666769594206	9
"trait_3_ard"	-11.5441461696679	50.5939103168639	22.0562084294171	9.58231934494542e-06	12
