"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.1393305321184	28.3194773907675	0	0.589652630634514	1
"trait_1_ard"	-12.593150793455	29.3100129271162	0.990535536348762	0.359338856652495	2
"trait_2_eq"	-12.6009689756194	33.6229905828177	5.30351319205023	0.0415865586570242	4
"trait_2_ard"	-11.8686038653994	36.6404335372504	8.32095614648287	0.009198638910817	6
"trait_3_eq"	-12.0793192520344	44.1586385040688	15.8391611133013	0.000214371035446815	9
"trait_3_ard"	-11.4629289460083	50.5120647885684	22.1925873978009	8.9441097036992e-06	12
