"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.5304255776042	29.1008511552083	0	0.595465876613569	1
"trait_1_ard"	-12.9658467216979	30.052905564608	0.95205440939969	0.369931140061961	2
"trait_2_eq"	-13.5304255241953	35.4732221824112	6.37237102720286	0.0246101404514635	4
"trait_2_ard"	-12.2191051455516	37.322420817419	8.22156966221065	0.00976260483815754	6
"trait_3_eq"	-12.4750710034776	44.9066637460857	15.8058125908773	0.000220124450085367	9
"trait_3_ard"	-11.7808364066958	51.0672907909197	21.9664396357114	1.01135847635474e-05	12
