"np"	"lnLik"	"AICc"	"dAICc"	"AICcwt"
"BM1"	2	-88.1798072991974	180.497545632878	26.7572650653663	8.88911878243405e-07
"OU1"	3	-74.0299497604683	154.338969288378	0.598688720867074	0.425717389121587
"OUM"	4	-72.6348461661086	153.740280567511	0	0.574281721966535
