"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.443179933711	28.9318144128765	0	0.59861820520039	1
"trait_1_ard"	-12.9312587500923	30.0004485346674	1.06863412179095	0.350831814276165	2
"trait_2_eq"	-12.8933630071922	34.2573142496784	5.32549983680195	0.041757291782484	4
"trait_2_ard"	-12.2039099470587	37.4198680868884	8.48805367401192	0.00858998655595825	6
"trait_3_eq"	-12.3674553250763	44.9849106501526	16.0530962372761	0.000195552946386352	9
"trait_3_ard"	-11.7753066035583	51.6025612590647	22.6707468461882	7.1492386163244e-06	12
