"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.6686281854674	29.3827109163893	0	0.593354730674078	1
"trait_1_ard"	-13.1334733716088	30.4048777777004	1.02216686131109	0.355921067672008	2
"trait_2_eq"	-13.1066434406318	34.6838751165578	5.30116420016844	0.0418968362458106	4
"trait_2_ard"	-12.4073372121946	37.8267226171604	8.44401170077106	0.00870403374027266	6
"trait_3_eq"	-13.1066269463412	46.4632538926825	17.0805429762932	0.000115963583646537	9
"trait_3_ard"	-11.9617714035206	51.9754908589892	22.5927799425999	7.36808418452868e-06	12
