"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.1963453838321	28.4381453131187	0	0.615402644783131	1
"trait_1_ard"	-12.7112498706566	29.5604307757959	1.12228546267722	0.351122101047013	2
"trait_2_eq"	-13.1963453714917	34.8632789782775	6.42513366515885	0.0247718995469844	4
"trait_2_ard"	-11.9942340794263	37.0005163516238	8.56237103850509	0.00850871762861821	6
"trait_3_eq"	-12.1909255208993	44.6318510417985	16.1937057286799	0.000187387595539097	9
"trait_3_ard"	-11.5422121407093	51.1363723333667	22.698227020248	7.2493987138171e-06	12
