"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.3097428750629	28.6649402955804	0	0.61135083070425	1
"trait_1_ard"	-12.8071354326189	29.7522018997206	1.08726160414027	0.354972450884613	2
"trait_2_eq"	-13.3097428750471	35.0900739853883	6.42513368980799	0.024608800933673	4
"trait_2_ard"	-12.0628887614164	37.1378257156039	8.47288542002351	0.00883948197996075	6
"trait_3_eq"	-12.1304584141442	44.5109168282883	15.845976532708	0.000221503413016861	9
"trait_3_ard"	-11.6937618265394	51.4394717050269	22.7745314094465	6.93208448632957e-06	12
