"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.5295755893022	29.1046057240589	0	0.608258247563164	1
"trait_1_ard"	-13.0595832576221	30.2570975497269	1.15249182566793	0.341843704505118	2
"trait_2_eq"	-13.0010028776822	34.4725939906585	5.36798826659959	0.0415378644552268	4
"trait_2_ard"	-12.3575601561702	37.7271685051114	8.6225627810525	0.00816060371190173	6
"trait_3_eq"	-12.4841794383828	45.2183588767657	16.1137531527068	0.000192766236257723	9
"trait_3_ard"	-11.9257735597654	51.9034951714789	22.79888944742	6.81352833148885e-06	12
