"Log-likelihood"	"AICc"	"Delta_AICc"	"AICcWt"	"K_rates"
"trait_1_eq"	-13.1319464020454	28.3093473495453	0	0.623961490248621	1
"trait_1_ard"	-12.7455030029668	29.6289370404164	1.31958969087113	0.322561497082282	2
"trait_2_eq"	-12.5380351238587	33.5466584830115	5.23731113346622	0.0454872963278309	4
"trait_2_ard"	-12.023379704496	37.0588076017631	8.74946025221785	0.00785663600789975	6
"trait_3_eq"	-12.5380771579564	45.3261543159127	17.0168069663674	0.000125894020756667	9
"trait_3_ard"	-11.5003653896741	51.0526788312963	22.743331481751	7.186312608831e-06	12
